aux.acc_seg,aux.loss_ce,data_time,decode.acc_seg,decode.loss_ce,loss,lr,memory,step,time
20.3216552734375,0.04584512611230215,0.0023278395334879556,56.8450927734375,0.10572807242472966,0.15157320102055868,0.009999554487748395,6131.0,3.0,4.240438143412272
79.0679931640625,0.02311448324471712,0.0018848657608032226,86.1602783203125,0.04938479159027338,0.07249927446246147,0.00997794446709763,3596.0,100.0,0.31096277236938474
67.9901123046875,0.017418716009706257,0.0018801689147949219,57.5927734375,0.04029298759996891,0.057711703702807426,0.009955660594668054,3596.0,200.0,0.3097715139389038
71.148681640625,0.01659631999209523,0.0019929170608520507,76.8035888671875,0.03840001411736012,0.054996334761381147,0.009933371122565919,3596.0,300.0,0.31156651973724364
75.6500244140625,0.015088381245732307,0.0018902063369750977,77.62451171875,0.03591420669108629,0.05100258737802506,0.009911076035273796,3596.0,400.0,0.311572790145874
70.458984375,0.01494949935004115,0.0019001483917236329,68.9361572265625,0.038235094584524634,0.05318459272384644,0.0098887753171919,8859.0,500.0,0.3132584810256958
74.5330810546875,0.015365584660321474,0.0019887447357177734,82.03125,0.03631209880113602,0.05167768411338329,0.009866468952637547,3596.0,600.0,0.3133704662322998
78.8726806640625,0.015153147093951703,0.001795649528503418,79.827880859375,0.033552303723990914,0.04870545044541359,0.009844156925844432,3596.0,700.0,0.3132621288299561
70.6329345703125,0.01581665761768818,0.002091717720031738,81.2469482421875,0.03780295122414827,0.053619608469307425,0.009821839220962003,3596.0,800.0,0.3136641263961792
74.078369140625,0.011669699987396597,0.0019942760467529298,70.318603515625,0.025769779924303293,0.03743947986513376,0.009799515822054777,3596.0,900.0,0.31364998817443845
88.330078125,0.01216988223604858,0.0019958019256591797,86.370849609375,0.02827688530087471,0.0404467673972249,0.00977718671310168,3596.0,1000.0,0.31286277770996096
84.600830078125,0.012982857134193181,0.0020870685577392576,89.3890380859375,0.029840291664004325,0.042823148891329765,0.009754851877995354,3596.0,1100.0,0.3137609243392944
90.7684326171875,0.012052470771595835,0.0021983623504638673,90.5914306640625,0.027387944515794516,0.03944041542708874,0.009732511300541468,3596.0,1200.0,0.31396501064300536
72.2381591796875,0.01129815741442144,0.0018967151641845702,70.245361328125,0.026268216595053673,0.03756637424230576,0.009710164964458045,3596.0,1300.0,0.3133687019348145
78.7261962890625,0.016258353553712367,0.002102303504943848,75.3021240234375,0.03814214691519737,0.054400500282645224,0.009687812853374727,3596.0,1400.0,0.3141627788543701
85.028076171875,0.010274581983685494,0.001994681358337402,85.5804443359375,0.023119452968239786,0.033394035138189795,0.009665454950832103,3596.0,1500.0,0.3138606071472168
74.81689453125,0.010801054211333394,0.0020862817764282227,79.400634765625,0.024320648424327372,0.03512170296162367,0.009643091240280942,3596.0,1600.0,0.3138611078262329
82.3486328125,0.012501894775778056,0.0019083738327026368,81.4605712890625,0.02818934191018343,0.04069123677909374,0.009620721705081534,3596.0,1700.0,0.3136610507965088
79.5684814453125,0.010204085847362876,0.002080988883972168,81.6925048828125,0.022907209023833273,0.03311129491776228,0.009598346328502901,3596.0,1800.0,0.3142594814300537
87.7532958984375,0.011158349364995957,0.002186131477355957,86.8804931640625,0.02714537102729082,0.03830372020602226,0.009575965093722064,3596.0,1900.0,0.31455554962158205
75.9674072265625,0.013438424654304981,0.002192091941833496,79.1595458984375,0.029575058817863466,0.04301348384469748,0.009553577983823325,3596.0,2000.0,0.31385762691497804
81.5032958984375,0.010123354429379106,0.0019669532775878906,80.4107666015625,0.025843699090182783,0.03596705384552479,0.0095311849817975,3596.0,2100.0,0.3140499353408813
84.66796875,0.0129769345279783,0.001991939544677734,84.82666015625,0.03204953270033002,0.04502646718174219,0.009508786070541123,3596.0,2200.0,0.31375784873962403
84.625244140625,0.0124960842076689,0.0019788503646850585,82.8643798828125,0.028507683612406253,0.04100376758724451,0.009486381232855704,3596.0,2300.0,0.3141626358032227
81.72607421875,0.014306388329714537,0.001994466781616211,86.395263671875,0.03442207183688879,0.04872846025973558,0.009463970451446941,3596.0,2400.0,0.31415977478027346
86.2945556640625,0.011751119792461396,0.0020859479904174806,88.85498046875,0.02726795691996813,0.039019076712429525,0.009441553708923918,3596.0,2500.0,0.313771915435791
93.54248046875,0.009658954292535781,0.0020947933197021486,93.121337890625,0.02196461334824562,0.031623567827045916,0.009419130987798348,3596.0,2600.0,0.313464617729187
69.5556640625,0.01437246548011899,0.0020967960357666016,67.9931640625,0.037629585899412635,0.05200205110013485,0.009396702270483696,3596.0,2700.0,0.3138606071472168
84.04541015625,0.013264797534793616,0.0020056247711181642,87.5762939453125,0.02931739166378975,0.042582188919186595,0.009374267539294417,3596.0,2800.0,0.31406283378601074
71.307373046875,0.012218895042315126,0.0022834062576293944,79.986572265625,0.02691544806584716,0.03913434334099293,0.00935182677644513,3596.0,2900.0,0.3140596866607666
