aAcc,data_time,mAcc,mIoU,step,time
72.52,0.46758027871449787,50.53,41.01,400.0,3.9089730978012085
75.97,0.013254949024745397,53.64,41.76,800.0,0.2624514102935791
71.84,0.013540233884538923,42.51,35.45,1200.0,0.2620132991245815
61.47,0.013107129505702428,32.28,24.43,1600.0,0.2608744076320103
73.29,0.012673650469098772,51.47,42.42,2000.0,0.2611638137272426
75.26,0.012547833578927177,46.08,38.17,2400.0,0.2614462375640869
76.37,0.01267967905317034,50.82,43.12,2800.0,0.2611627919333322
