AUC,NME,PCK,coco/AP,coco/AP (L),coco/AP (M),coco/AP .5,coco/AP .75,coco/AR,coco/AR (L),coco/AR (M),coco/AR .5,coco/AR .75,data_time,step,time
0.013718820861678003,0.11919769840716235,0.4580498866213152,0.030797577510284533,0.030797577510284533,-1.0,0.2061792988713713,0.0018564356435643563,0.06904761904761905,0.06904761904761905,-1.0,0.30952380952380953,0.023809523809523808,3.2973600228627524,10.0,3.3520344893137612
0.018934240362811793,0.09940815620681867,0.6768707482993198,0.18419775555647952,0.18419775555647952,-1.0,0.6906460817086431,0.01657339647008179,0.23571428571428568,0.23571428571428568,-1.0,0.7619047619047619,0.047619047619047616,1.3002325126102992,20.0,1.3607844625200545
0.04467120181405896,0.06211116470717519,0.8911564625850339,0.5054516337103303,0.5054516337103303,-1.0,1.0,0.40390256449007494,0.5476190476190477,0.5476190476190477,-1.0,1.0,0.5714285714285714,1.4808976650238037,30.0,1.5361771924155099
0.06105442176870749,0.05773137323980699,0.9081632653061223,0.5295319692721002,0.5295319692721002,-1.0,1.0,0.37292289085121166,0.5904761904761905,0.5904761904761905,-1.0,1.0,0.5714285714285714,1.6521532535552979,40.0,1.704298666545323
0.06235827664399092,0.061868144271054776,0.8764172335600907,0.501478909743011,0.501478909743011,-1.0,1.0,0.4787865770501055,0.5452380952380953,0.5452380952380953,-1.0,1.0,0.5952380952380952,1.5105208328792028,50.0,1.5626660415104456
0.05697278911564625,0.06504931633704915,0.8503401360544218,0.47112423708130413,0.47112423708130413,-1.0,0.9686468646864688,0.36767367212911767,0.5095238095238095,0.5095238095238095,-1.0,0.9761904761904762,0.47619047619047616,1.4757680892944336,60.0,1.528198174067906
0.08429705215419502,0.05081855358720637,0.9444444444444444,0.6417588566364204,0.6417588566364204,-1.0,1.0,0.8326087434998325,0.6785714285714286,0.6785714285714286,-1.0,1.0,0.8571428571428571,1.523792096546718,70.0,1.560112510408674
0.07318594104308389,0.05114080035497272,0.9512471655328797,0.6489570441087009,0.6489570441087009,-1.0,1.0,0.8372629910049829,0.6833333333333333,0.6833333333333333,-1.0,1.0,0.8809523809523809,1.0926491192408971,80.0,1.1170122282845634
0.06065759637188208,0.05788733034717793,0.9070294784580497,0.5465544430127838,0.5465544430127838,-1.0,1.0,0.5530136068459729,0.5904761904761905,0.5904761904761905,-1.0,1.0,0.6428571428571429,0.8866332939692906,90.0,0.9592909131731305
0.08758503401360544,0.05079465766612635,0.9455782312925167,0.633347146204261,0.633347146204261,-1.0,1.0,0.8101167484444688,0.6714285714285714,0.6714285714285714,-1.0,1.0,0.8333333333333334,0.8162616661616734,100.0,0.9164056437356132
0.09240362811791383,0.04890988148799559,0.9546485260770974,0.651017173238024,0.651017173238024,-1.0,1.0,0.7204257427903853,0.6880952380952381,0.6880952380952381,-1.0,1.0,0.7857142857142857,0.8179112843104771,110.0,0.9229162761143276
0.10164399092970519,0.0486010769867843,0.9342403628117912,0.6532721230763413,0.6532721230763413,-1.0,1.0,0.7954127456089262,0.6880952380952381,0.6880952380952381,-1.0,1.0,0.8333333333333334,0.8260864870888847,120.0,0.9289438724517822
0.08015873015873015,0.05125174662964144,0.9387755102040817,0.6409552106471758,0.6409552106471758,-1.0,1.0,0.6882076136324411,0.6642857142857143,0.6642857142857143,-1.0,1.0,0.7619047619047619,0.8594239439283099,130.0,0.9273769855499268
0.07647392290249433,0.055248558926744525,0.9058956916099774,0.5969399943362896,0.5969399943362896,-1.0,1.0,0.6467529739384364,0.6285714285714286,0.6285714285714286,-1.0,1.0,0.7142857142857143,0.8388997486659459,140.0,0.934072766985212
0.10782312925170068,0.04540764339386471,0.9580498866213151,0.6883207170306239,0.6883207170306239,-1.0,1.0,0.9084019096093474,0.7285714285714285,0.7285714285714285,-1.0,1.0,0.9285714285714286,0.8306371825081962,150.0,0.9209653650011335
0.09206349206349207,0.04819837989720628,0.9569160997732424,0.6668005239245024,0.6668005239245024,-1.0,1.0,0.8206390311688423,0.7023809523809523,0.7023809523809523,-1.0,1.0,0.8571428571428571,0.8143046924046108,160.0,0.937406233378819
0.10238095238095239,0.04769094730991355,0.952380952380952,0.6776901065433173,0.6776901065433173,-1.0,1.0,0.8937021281865521,0.7095238095238096,0.7095238095238096,-1.0,1.0,0.9047619047619048,0.9139846052442279,170.0,0.9664171082632882
0.10277777777777779,0.04461007756170502,0.9693877551020404,0.6930481868090865,0.6930481868090865,-1.0,1.0,0.9302100941801499,0.7428571428571428,0.7428571428571428,-1.0,1.0,0.9523809523809523,0.9383594649178642,180.0,0.9674116883959089
0.11479591836734693,0.04353236503341571,0.968253968253968,0.7081178115271393,0.7081178115271393,-1.0,1.0,0.939179632248939,0.75,0.75,-1.0,1.0,0.9523809523809523,0.8305765901293073,190.0,0.9301657676696777
0.12324263038548754,0.042937856142212745,0.9671201814058954,0.7170490315220868,0.7170490315220868,-1.0,1.0,0.9414073550212164,0.7523809523809524,0.7523809523809524,-1.0,1.0,0.9523809523809523,0.8452682495117188,200.0,0.9357435362679618
0.12125850340136055,0.042550980098663815,0.9705215419501133,0.7202601884437759,0.7202601884437759,-1.0,1.0,0.944216372856798,0.7666666666666666,0.7666666666666666,-1.0,1.0,0.9523809523809523,0.8461791106632778,210.0,0.9557295186179025
0.1199546485260771,0.04197379737213896,0.9727891156462586,0.7294788651521057,0.7294788651521057,-1.0,1.0,0.9702970297029703,0.7738095238095238,0.7738095238095238,-1.0,1.0,0.9761904761904762,0.9536971705300468,220.0,0.9828956127166748
