acc_pose,data_time,epoch,loss,loss_kpt,lr,memory,step,time
0.015079365079365078,13.894835233688354,1.0,0.23503679037094116,0.23503679037094116,3.0000000000000004e-08,904.0,1.0,17.314687967300415
0.0,7.186777472496033,1.0,0.23532122373580933,0.23532122373580933,0.00015792315789473686,949.0,2.0,8.931111812591553
0.008928571428571428,6.408193588256836,1.0,0.23542204995950064,0.23542204995950064,0.00031581631578947374,949.0,3.0,7.6555244127909345
0.011904761904761904,5.9635491371154785,1.0,0.23522014170885086,0.23522014170885086,0.0004737094736842106,949.0,4.0,6.955895900726318
0.05357142857142857,5.712321043014526,1.0,0.2343466579914093,0.2343466579914093,0.0006316026315789474,949.0,5.0,6.5458920955657955
0.07142857142857142,5.64107871055603,1.0,0.23149571071068445,0.23149571071068445,0.0007894957894736843,949.0,6.0,6.352841734886169
0.06547619047619048,5.578365530286517,1.0,0.23284503604684556,0.23284503604684556,0.0009473889473684211,949.0,7.0,6.2071124485560825
0.19642857142857142,5.418756812810898,1.0,0.2298569642007351,0.2298569642007351,0.001105282105263158,949.0,8.0,6.015784859657288
0.17857142857142858,5.135265058941311,1.0,0.2279494603474935,0.2279494603474935,0.0012631752631578948,949.0,9.0,5.683686971664429
0.14583333333333334,4.960931396484375,1.0,0.22573433816432953,0.22573433816432953,0.0014210684210526317,949.0,10.0,5.46448438167572
0.20833333333333334,4.655004219575361,1.0,0.21424586935476822,0.21424586935476822,0.0015789615789473684,593.0,11.0,5.131910345771096
0.23511904761904762,4.628537138303121,2.0,0.21224184955159822,0.21224184955159822,0.001736854736842105,949.0,12.0,5.094457626342773
0.19940476190476192,4.6367522753202,2.0,0.21098242700099945,0.21098242700099945,0.001894747894736842,949.0,13.0,5.073967493497408
0.1130952380952381,4.614230019705636,2.0,0.21150492770331247,0.21150492770331247,0.002052641052631579,949.0,14.0,5.026057038988386
0.1488095238095238,4.613992818196615,2.0,0.21425129969914755,0.21425129969914755,0.0022105342105263157,949.0,15.0,5.007340463002523
0.1371031746031746,4.607364729046822,2.0,0.21372932475060225,0.21372932475060225,0.0023684273684210526,949.0,16.0,4.994329437613487
0.12202380952380952,4.581745736739215,2.0,0.21694729345686295,0.21694729345686295,0.0025263205263157894,949.0,17.0,4.956507809021893
0.14285714285714285,4.509495139122009,2.0,0.2171573763092359,0.2171573763092359,0.0026842136842105263,949.0,18.0,4.867315014203389
0.19662698412698412,4.46190891767803,2.0,0.21579766665634356,0.21579766665634356,0.002842106842105263,949.0,19.0,4.806932687759399
0.17559523809523808,4.477475130558014,2.0,0.21573502123355864,0.21573502123355864,0.003,949.0,20.0,4.8105335354804994
0.17261904761904762,4.4812057585943315,2.0,0.2159347307114374,0.2159347307114374,0.003,949.0,21.0,4.813601516541981
0.17261904761904762,4.372759873216802,2.0,0.21061779727989977,0.21061779727989977,0.003,593.0,22.0,4.693582708185369
0.16964285714285715,4.393597229667332,3.0,0.21049120730679968,0.21049120730679968,0.003,949.0,23.0,4.713653450426848
0.12202380952380952,4.397364288568497,3.0,0.21105045297493538,0.21105045297493538,0.003,949.0,24.0,4.714556872844696
0.13392857142857142,4.397558717727661,3.0,0.21113704830408098,0.21113704830408098,0.003,949.0,25.0,4.711199131011963
0.208531746031746,4.343076742612398,3.0,0.21076082008389327,0.21076082008389327,0.003,949.0,26.0,4.647377564356877
0.22023809523809523,4.340134143829346,3.0,0.2099599548512035,0.2099599548512035,0.003,949.0,27.0,4.642878179196958
0.19384920634920633,4.334764829703739,3.0,0.20888465456664562,0.20888465456664562,0.003,949.0,28.0,4.631469539233616
0.2113095238095238,4.351844680720363,3.0,0.2081915564064322,0.2081915564064322,0.003,949.0,29.0,4.640966292085318
0.15773809523809523,4.368118357658386,3.0,0.20784192209442456,0.20784192209442456,0.003,949.0,30.0,4.650827256838481
