data_time,epoch,loss,loss_bbox,loss_cls,lr,memory,step,time
14.02993655204773,1.0,0.11257503926753998,0.04254308342933655,0.07003195583820343,4e-08,2626.0,1.0,19.507622718811035
7.017461657524109,1.0,0.10423372685909271,0.034216705709695816,0.0700170211493969,4.043963963963964e-06,2664.0,2.0,9.864531397819519
4.681953589121501,1.0,0.1088840514421463,0.03888909891247749,0.06999495128790538,8.047927927927926e-06,2664.0,3.0,6.664440949757894
3.5154547691345215,1.0,0.10079141147434711,0.03084562555886805,0.06994578428566456,1.205189189189189e-05,2664.0,4.0,5.061661243438721
2.8153557777404785,1.0,0.10211258381605148,0.032182172127068046,0.06993041038513184,1.6055855855855853e-05,2664.0,5.0,4.104980373382569
2.3497865200042725,1.0,0.10876067851980527,0.03886907811587056,0.06989160055915515,2.0059819819819814e-05,2664.0,6.0,3.4673598210016885
2.0163866111210416,1.0,0.10511302096503121,0.035280733103198667,0.06983228772878647,2.4063783783783776e-05,2664.0,7.0,3.0106329577309743
1.7660843133926392,1.0,0.10447867400944233,0.03471863630693406,0.06976003758609295,2.806774774774774e-05,2664.0,8.0,2.668213129043579
1.9439640310075548,1.0,0.10809089905685848,0.03841364787270626,0.06967725025282966,3.2071711711711706e-05,2664.0,9.0,2.7896279758877225
1.7730045795440674,1.0,0.11267589032649994,0.04307337021455169,0.06960251927375793,3.607567567567567e-05,2664.0,10.0,2.5589359760284425
1.6137261390686035,1.0,0.11640387231653387,0.0468926638872786,0.06951120834458958,4.0079639639639635e-05,2664.0,11.0,2.3514197089455346
1.480502446492513,1.0,0.11548769970734914,0.046078371427332364,0.06940932820240657,4.40836036036036e-05,2664.0,12.0,2.1757472157478333
1.6315244894761305,1.0,0.11692604766442226,0.047626467779851876,0.06929957981293018,4.808756756756756e-05,2664.0,13.0,2.316711480800922
1.515984058380127,1.0,0.11504069289990834,0.04587404117254274,0.06916665179388863,5.209153153153152e-05,2664.0,14.0,2.169824940817697
1.416248369216919,1.0,0.12859326700369517,0.059522361618777116,0.06907090495030085,5.609549549549549e-05,2664.0,15.0,2.0439863840738934
1.3283562511205673,1.0,0.1275569573044777,0.0586122929234989,0.06894466374069452,6.0099459459459453e-05,2664.0,16.0,1.931695818901062
1.5048895302940817,1.0,0.13649700844989104,0.06759067082448918,0.06890633746105082,6.41034234234234e-05,2664.0,17.0,2.098493029089535
1.4452206161287096,1.0,0.1402761009004381,0.0715305228303704,0.06874557832876842,6.810738738738738e-05,2664.0,18.0,2.0176479154162936
1.3696287682181911,1.0,0.15173931184567904,0.08308538662171677,0.06865392546904714,7.211135135135135e-05,2664.0,19.0,1.9237915591189736
1.301546049118042,1.0,0.1621535986661911,0.0936516331974417,0.06850196532905102,7.61153153153153e-05,2664.0,20.0,1.8389713883399963
1.331693240574428,1.0,0.17696041294506618,0.10850381589538995,0.06845659691663016,8.011927927927928e-05,2664.0,21.0,1.8536150341942197
1.5097509189085527,2.0,0.1922840652140704,0.12297995545139367,0.06930411099032922,8.412324324324324e-05,2664.0,22.0,2.0220022201538086
1.4450201366258704,2.0,0.19483999195306198,0.12576766721094432,0.06907232591639394,8.81272072072072e-05,2664.0,23.0,1.9474028193432351
1.3855991065502167,2.0,0.22310890878240267,0.1536436287763839,0.06946528237313032,9.213117117117117e-05,2664.0,24.0,1.8772719502449036
1.330573902130127,2.0,0.2368203866481781,0.16623400766402482,0.0705863818526268,9.613513513513512e-05,2664.0,25.0,1.8131517791748046
1.5062525272369385,2.0,0.25635378979719603,0.1855928607356663,0.07076093210623814,0.00010013909909909908,2664.0,26.0,1.9907150727051954
1.4508717678211354,2.0,0.27795373179294447,0.20701486606978708,0.07093886837915138,0.00010414306306306305,2664.0,27.0,1.9269212351904974
1.3994452101843697,2.0,0.3244514305676733,0.24943633660274958,0.07501509865479809,0.00010814702702702703,2664.0,28.0,1.86907183272498
1.3517730236053467,2.0,0.3863759708815607,0.2768334485911604,0.10954252681855497,0.00011215099099099098,2664.0,29.0,1.8139753341674805
1.4360346396764119,2.0,0.4361852020025253,0.31937041745210687,0.11681478694081307,0.00011615495495495494,2664.0,30.0,1.8981227159500123
1.3902269947913386,2.0,0.48519276130583977,0.3452118295395086,0.1399809340796163,0.0001201589189189189,2664.0,31.0,1.8457090854644775
1.3471865728497505,2.0,0.5306569347158074,0.3632221432926599,0.16743479180149734,0.00012416288288288286,2664.0,32.0,1.7968844026327133
1.306816072174997,2.0,0.5710789082628308,0.3930974572501851,0.17798145137953036,0.00012816684684684683,2664.0,33.0,1.750200538924246
1.3774122350356157,2.0,0.6160392138887855,0.4365340424427653,0.17950516873422792,0.0001321708108108108,2664.0,34.0,1.8184919357299805
1.338770055770874,2.0,0.6396514628614698,0.44599945090178933,0.19365200932536805,0.00013617477477477477,2664.0,35.0,1.7758814879826137
1.3019144137700398,2.0,0.6462493514021238,0.455866009540235,0.19038333909379113,0.00014017873873873875,2664.0,36.0,1.7339760329988267
1.2672936143101872,2.0,0.6699752235734785,0.47482970007065983,0.19514552000406626,0.00014418270270270272,2664.0,37.0,1.694740037660341
1.3247535605179637,2.0,0.6963578564556021,0.5021118244499361,0.19424602977539362,0.0001481866666666667,2664.0,38.0,1.752289514792593
1.2911690870920818,2.0,0.715659689444762,0.5233246551540035,0.192335032308713,0.00015219063063063066,2664.0,39.0,1.71341968805362
1.2592887878417969,2.0,0.7349339194595814,0.5369264726759866,0.19800744410604237,0.00015619459459459463,2664.0,40.0,1.676194280385971
